Run No.,Block No.,Result,Session No.
1,1,NO,1
2,1,NO,1
3,1,NO,1
4,1,NO,1
5,1,NO,1
6,1,NO,1
7,1,YES,1
8,1,NO,1
9,1,NO,1
10,1,NO,1
11,2,NO,1
12,2,NO,1
13,2,NO,1
14,2,NO,1
15,2,NO,1
16,2,NO,1
17,2,YES,1
18,2,YES,1
19,2,YES,1
20,2,YES,1
21,3,YES,1
22,3,NO,1
23,3,NO,1
24,3,NO,1
25,3,YES,1
26,3,YES,1
27,3,YES,1
28,3,YES,1
29,3,YES,1
30,3,YES,1
31,4,YES,1
32,4,NO,1
33,4,YES,1
34,4,YES,1
35,4,YES,1
36,4,YES,1
37,4,YES,1
38,4,YES,1
39,4,YES,1
40,4,YES,1
41,5,YES,1
42,5,YES,1
43,5,NO,2
44,5,NO,2
45,5,NO,2
46,5,NO,2
47,5,NO,2
48,5,NO,2
49,5,YES,2
50,5,YES,2
51,6,NO,2
52,6,YES,2
53,6,NO,2
54,6,YES,2
55,6,NO,2
56,6,YES,2
57,6,NO,2
58,6,YES,2
59,6,YES,2
60,6,YES,2
61,7,YES,2
62,7,YES,2
63,7,YES,2
64,7,YES,2
65,7,YES,2
66,7,NO,2
67,7,YES,2
68,7,YES,2
69,7,YES,2
70,7,YES,2
71,8,YES,2
72,8,YES,2
73,8,YES,2
74,8,NO,2
75,8,YES,2
76,8,YES,2
77,8,YES,2
78,8,YES,2
79,8,YES,2
80,8,YES,2
81,9,YES,2
82,9,YES,2
83,9,YES,2
84,9,YES,2
85,9,YES,2
86,9,YES,2
87,9,NO,2
88,9,YES,2
89,9,YES,2
90,9,YES,2
91,10,YES,2
92,10,YES,2
93,10,YES,2
94,10,YES,2
95,10,YES,2
96,10,YES,2
97,10,YES,2
98,10,YES,2
99,10,YES,2
100,10,YES,2
