"Country","variable","value","new_cases"
"New Zealand","2/28/20",1,1
"New Zealand","2/29/20",1,0
"New Zealand","3/1/20",1,0
"New Zealand","3/2/20",1,0
"New Zealand","3/3/20",1,0
"New Zealand","3/4/20",3,2
"New Zealand","3/5/20",3,0
"New Zealand","3/6/20",4,1
"New Zealand","3/7/20",5,1
"New Zealand","3/8/20",5,0
"New Zealand","3/9/20",5,0
"New Zealand","3/10/20",5,0
"New Zealand","3/11/20",5,0
"New Zealand","3/12/20",5,0
"New Zealand","3/13/20",5,0
"New Zealand","3/14/20",6,1
"New Zealand","3/15/20",8,2
"New Zealand","3/16/20",8,0
"New Zealand","3/17/20",12,4
"New Zealand","3/18/20",20,8
"New Zealand","3/19/20",28,8
"New Zealand","3/20/20",39,11
"New Zealand","3/21/20",52,13
"New Zealand","3/22/20",66,14
"New Zealand","3/23/20",102,36
"New Zealand","3/24/20",155,53
